User ID,Star Spend,Collection Power,Gold,Green Stones,Purple Stones,Max Normal Constellation,Max Raid Constellation
2035697100,0,4,2300,640,0,constellation2,
2047777300,0,41,2710,860,0,constellation3,
2049026015,0,184,157080,34950,16400,constellation9,
2049307727,0,35,11070,4460,2100,constellation6,
2051113865,0,13,2150,680,0,constellation2,
2054759496,0,87,8150,3550,1000,constellation5,
2057975232,0,151,61270,15230,3640,constellation9,
2060249359,0,23,3350,900,0,constellation3,
2076069285,0,0,1150,550,0,constellation1,
2090505500,0,14,2150,1150,0,constellation2,
2097290765,0,74,12150,4550,2000,constellation6,
2098514525,0,8,3010,1550,0,constellation3,
2112236203,0,4,2280,660,0,constellation2,
2112652300,0,4,2290,730,0,constellation2,
2114658703,0,16,2150,600,0,constellation2,
2114698797,0,4,2550,580,0,constellation2,
2115019442,0,18,2150,1550,0,constellation2,
2115741761,0,117,2680,1220,0,constellation3,
2118701787,0,7,2150,550,0,constellation2,
2134812688,0,4,3150,1550,0,constellation3,
2140764675,0,25,4150,2550,0,constellation4,
2142204730,0,4,2320,620,0,constellation2,
2144806969,0,59,12150,4550,2200,constellation6,
2145192011,0,213,177350,34440,11200,constellation9,
216227615,0,24,3310,1750,0,constellation3,
226488651,0,3,2150,550,0,constellation2,
239555876,0,4,2710,610,0,constellation3,
244962069,0,4,4150,2550,0,constellation4,
267188406,0,21,2280,860,0,constellation2,
272388482,0,157,71330,20960,7720,constellation9,
275035967,0,37,10150,3550,1000,constellation6,
286041355,0,88,74870,17750,6870,constellation9,
286617430,0,28,3060,1550,0,constellation3,
291726352,0,4,2150,780,0,constellation2,
293325741,0,65,29150,11550,4200,constellation8,
304559521,0,25,7150,3550,0,constellation5,
304663001,0,3,1150,550,0,constellation1,
333328375,0,4,4150,2550,0,constellation4,
351792290,0,31,3150,1550,0,constellation3,
357517883,0,148,26150,9190,4000,constellation8,
363176824,0,67,22150,6550,3000,constellation7,
372535389,0,4,2150,660,0,constellation2,
375405591,0,25,17080,3020,220,constellation8,
38243414,0,176,184270,40110,14820,constellation9,
392614876,0,0,1150,550,0,constellation1,
397344492,0,4,2150,590,0,constellation2,
398519544,0,3,2150,580,0,constellation2,
415889945,0,0,1150,550,0,constellation1,
419094997,0,42,10360,3670,2000,constellation6,
422521166,0,0,1150,550,0,constellation1,
422570112,0,4,4150,2550,0,constellation4,
427460850,0,4,2150,620,0,constellation2,
432635854,0,4,2150,650,0,constellation2,
434778165,0,119,6770,3210,620,constellation5,
435568106,0,4,2150,630,0,constellation2,
445298431,0,4,2150,1550,0,constellation2,
448149647,0,4,2150,640,0,constellation2,
449407051,0,18,3410,2330,0,constellation3,
450320862,0,149,25150,8550,4000,constellation8,
454436512,0,36,2330,830,0,constellation2,
458159788,0,4,2150,600,0,constellation2,
471581427,0,126,70150,18550,10700,constellation9,
482872604,0,16,3060,1550,0,constellation3,
487060166,0,4,2150,780,0,constellation2,
488664507,0,4,2150,640,0,constellation2,
496546667,0,178,96150,26350,11200,constellation9,
5000263963,0,179,118770,28900,10840,constellation9,
500130914,0,166,88470,19550,8100,constellation9,
5001335452,0,4,2150,1150,0,constellation2,
500868201,0,0,1150,550,0,constellation1,
5014734840,0,176,120530,30030,9700,constellation9,
5016308335,0,4,2150,620,0,constellation2,
5034760986,0,34,4490,2710,130,constellation4,
5034849782,0,4,2290,650,0,constellation2,
5034872472,0,4,2440,1150,0,constellation2,
503640415,0,167,60890,16110,7520,constellation9,
5042273142,0,164,62150,16550,7300,constellation9,
5043028748,0,3,2150,550,0,constellation2,
5044715017,0,63,11060,3620,2600,constellation6,
5053182019,0,43,8060,4470,1040,constellation6,
5054645322,0,57,2410,620,0,constellation2,
5059861607,0,0,1150,550,0,constellation1,
5063072424,0,4,2330,770,0,constellation2,
5075800495,0,148,57150,15020,6310,constellation9,
5079253028,0,4,2150,660,0,constellation2,
